Restuarant,review,label
nRzZac3LVgANpKPkDs4LSQ,I saw someone with a Jersey Mike's box the other day or I wouldn't have known they existed.  I was told to try the place as the subs they got there were the best they had had for a long time.   I had to make a decision whether to go their or AJ's this week.  I have to tell you Jersey Mike's had two strikes against it before I walked in there so I almost didn't.   I am not a big sub person.  Usually the bread is satisfactory but that is about it.  The second strike is most places that advertise themselves as being from a specific area offer a product  you really have to develop a taste for  if you are ever really going to enjoy it.  Maybe if you are from there... ?  I was about that far from not going in...  I am glad that I did.  They don't offer all the toppings one might find at the other large chains. Only two kinds of bread?  The difference is in the quality of what they do offer.  That by far makes up the difference.  I had a toasted veggie wrap and really enjoyed it.  Everything was fresh and crisp without an overpowering ranch dressing.  Nice fresh bread that tasted like it had been baked that day.  Enough to fill you up without making you feel stuffed.  I have no problems with the thought of going back.    One more plus for Jersey Mike's.  I had to wait longer than I expected.  When I finally did get my order; I mentioned it was my first time there.  I was immediately told they were shorthanded and got an apology for having had to wait as long as I did.  That really impressed me as they were really busy and it was genuine; not lip service.     Nice place.,1
nRzZac3LVgANpKPkDs4LSQ,I saw someone with a Jersey Mike's box the other day or I wouldn't have known they existed.  I was told to try the place as the subs they got there were the best they had had for a long time.   I had to make a decision whether to go their or AJ's this week.  I have to tell you Jersey Mike's had two strikes against it before I walked in there so I almost didn't.   I am not a big sub person.  Usually the bread is satisfactory but that is about it.  The second strike is most places that advertise themselves as being from a specific area offer a product  you really have to develop a taste for  if you are ever really going to enjoy it.  Maybe if you are from there... ?  I was about that far from not going in...  I am glad that I did.  They don't offer all the toppings one might find at the other large chains. Only two kinds of bread?  The difference is in the quality of what they do offer.  That by far makes up the difference.  I had a toasted veggie wrap and really enjoyed it.  Everything was fresh and crisp without an overpowering ranch dressing.  Nice fresh bread that tasted like it had been baked that day.  Enough to fill you up without making you feel stuffed.  I have no problems with the thought of going back.    One more plus for Jersey Mike's.  I had to wait longer than I expected.  When I finally did get my order; I mentioned it was my first time there.  I was immediately told they were shorthanded and got an apology for having had to wait as long as I did.  That really impressed me as they were really busy and it was genuine; not lip service.     Nice place.,1
nRzZac3LVgANpKPkDs4LSQ,I am updating my review to 5 stars based on customer service. After I wrote my review based on my last visit; I was contacted by Duane; who was kind enough to address my concern and generously offered to pay for my meal. That kind of customer service is practically unheard of these days as should be recognized; especially in a fast food establishment. Duane; Jersey Mikes is lucky to have you and I thank you again for your genuine concern for your customers! You have won us back! :),1
nRzZac3LVgANpKPkDs4LSQ,I am giving one star because the other employees at this store are wonderful. This is regarding my previous concern about the rude; sarcastic; intimidating; unprofessional MANAGER.  First; let me say I recognize my order is a little particular. I ask for extra stuff; but I have iterated over and over I am more than happy to PAY for it; and I am patient; gracious; grateful; and tip the maximum EVERY time I go in. Ok; I didn't yesterday because I actually feel intimidated by that jerk.  That being said; my husband usually goes for me so I don't have to deal with that guy because he has never failed to make it clear his disdain for me. But thinking enough time had passed; I started going in occasionally. Save for one time last week when it appeared HIS supervisor was sitting there (cue the complete show of syrupy sweetness); he is consistently rude; barking orders at employees; and huffing and puffing if you ask for anything that might annoy him.  In addition to this incredibly unprofessional attitude;  he is willing to share personal information about employees. He related to my husband a female employee (who was always very nice) was fired because she 'was stealing points and giving them to her mother to use'.  I don't care if she did; you don't need an MBA to know you do not share that type of information.  Given the qualities that this location seeks in their management; I will never be returning. I have never in my life felt intimidated at anyplace I patronize reguarly and I am actually concerned he might do something to my food. I can see from other reviews I am not alone. I gave you another chance and my patience has run out.,0
nRzZac3LVgANpKPkDs4LSQ,Service was lacking; we were the only people in the place and had to hear about the two gentlemen talk about the schedule for a few minutes before we were even greeted. Ordered two small subs with small drinks and chips. I had a philly style beef with spicy sauce; the Kahuna or something. It was meh; ok. I won't be back because I spent over $20.00.,0
nRzZac3LVgANpKPkDs4LSQ,Service was lacking; we were the only people in the place and had to hear about the two gentlemen talk about the schedule for a few minutes before we were even greeted. Ordered two small subs with small drinks and chips. I had a philly style beef with spicy sauce; the Kahuna or something. It was meh; ok. I won't be back because I spent over $20.00.,0
nRzZac3LVgANpKPkDs4LSQ,$10.10 for Miss Vickers Chips; 22 ounce soda; and a 7 inch sub.   Whoa!   Sub was all bread and lettuce.   Skimpy skimpy skimpy!   Service was fine; but I will not be going back when I can go to Subway for a 12 inch sub plus drink and chips for $7.00  .   Sorry Jersey Mike; but yous no good.,0
nRzZac3LVgANpKPkDs4LSQ,Awesome guys! Always fun and making jokes with us. Meat and cheese sliced fresh when you order and I love that I can customize my thickness. Great spot for a quick sandwich at lunchtime. Just sad they dont have black olives or sweet peppers.,1
nRzZac3LVgANpKPkDs4LSQ,I came here on a Friday to feast on a Philly cheesesteak; had it with the onions and peppers on white bread.It was phenomenal! So much that I spent the whole weekend dreaming about it. And so I convinced my co-workers we needed to eat here for lunch the following Monday.  I ordered the Philly again on white bread w/ onions and peppers; but this time w/ chicken as the filling. Wow! It was delicious! The bread was not soggy. And both sandwiches were flavorful. It was well worth the $7 plus change spent.,1
nRzZac3LVgANpKPkDs4LSQ,Love this Sub shop and the location on Central and Camrlback.. 10/10 on customer service; 10/10 on food quality; 10/10 on facility cleanliness! This the place to be if you want awesome service and great food.,1
